record_id,district,crop,season,growth_stage,crop_age_days,temperature_C,humidity_pct,rainfall_mm,soil_moisture_pct,wind_speed_kmh,prev_disease_history,likely_disease,risk_level
AGR0001,Bharatpur,Mustard,Rabi,Maturity,96,16.0,46.4,2.7,14.3,12.3,0,None,Low
AGR0002,Banswara,Maize,Kharif,Vegetative,34,36.6,95.1,30.2,63.8,24.2,0,Common Rust,Medium
AGR0003,Jaisalmer,Bajra,Kharif,Maturity,85,38.4,58.3,24.3,36.8,3.3,1,None,Low
AGR0004,Jodhpur,Bajra,Kharif,Flowering,47,35.6,95.6,6.9,41.3,20.5,0,Ergot,Medium
AGR0005,Bikaner,Wheat,Rabi,Flowering,69,25.1,62.1,9.8,25.4,9.9,0,None,Low
AGR0006,Sriganganagar,Wheat,Rabi,Vegetative,25,9.2,42.0,0.4,10.0,16.3,1,None,Low
AGR0007,Hanumangarh,Wheat,Rabi,Flowering,72,10.9,78.0,13.1,34.7,19.6,1,Powdery Mildew,Medium
AGR0008,Nagaur,Chickpea,Rabi,Flowering,60,19.1,60.8,23.6,55.6,2.3,0,Wilt,Medium
AGR0009,Jaisalmer,Bajra,Kharif,Seedling,15,27.1,87.4,4.9,28.8,2.1,0,Ergot,Medium
AGR0010,Nagaur,Bajra,Kharif,Flowering,57,29.2,54.4,29.3,56.2,6.3,0,None,Low
AGR0011,Bikaner,Wheat,Rabi,Vegetative,28,32.2,73.1,17.5,42.8,17.3,0,None,Low
AGR0012,Rajsamand,Maize,Kharif,Flowering,47,39.3,60.7,43.7,66.5,22.1,0,None,Low
AGR0013,Baran,Soybean,Kharif,Flowering,53,37.0,76.9,12.3,32.8,11.9,1,Bacterial Pustule,Medium
AGR0014,Bikaner,Wheat,Rabi,Seedling,3,29.4,31.7,19.6,29.9,6.7,0,None,Low
AGR0015,Hanumangarh,Wheat,Rabi,Flowering,59,11.9,36.4,0.7,11.4,14.7,0,None,Low
AGR0016,Hanumangarh,Wheat,Rabi,Maturity,90,13.9,84.4,14.4,45.6,3.9,0,Powdery Mildew,Medium
AGR0017,Alwar,Mustard,Rabi,Flowering,57,26.6,79.4,18.6,43.8,2.1,1,Alternaria Blight,High
AGR0018,Alwar,Mustard,Rabi,Flowering,47,32.2,73.7,4.0,24.4,1.5,1,White Rust,Medium
AGR0019,Bharatpur,Mustard,Rabi,Flowering,66,23.0,38.6,20.9,32.3,10.0,0,White Rust,Medium
AGR0020,Churu,Wheat,Rabi,Maturity,96,32.6,61.1,4.6,17.9,3.9,0,None,Low
AGR0021,Jodhpur,Bajra,Kharif,Maturity,67,33.5,86.6,39.1,66.5,7.7,0,Ergot,Medium
AGR0022,Bikaner,Wheat,Rabi,Seedling,14,13.5,30.9,17.0,34.6,2.1,0,None,Low
AGR0023,Sriganganagar,Wheat,Rabi,Seedling,17,19.4,63.1,23.4,44.4,8.7,0,None,Low
AGR0024,Bharatpur,Mustard,Rabi,Vegetative,45,14.7,66.0,15.5,36.2,9.3,0,White Rust,Medium
AGR0025,Dausa,Mustard,Rabi,Vegetative,34,33.1,76.5,5.6,26.3,6.7,0,None,Low
AGR0026,Jhalawar,Soybean,Kharif,Vegetative,45,32.2,87.1,2.2,27.2,19.4,0,Bacterial Pustule,Medium
AGR0027,Bikaner,Wheat,Rabi,Vegetative,40,25.5,42.7,17.0,35.1,26.3,0,None,Low
AGR0028,Bharatpur,Mustard,Rabi,Vegetative,41,9.3,47.6,11.0,25.0,25.2,0,None,Low
AGR0029,Jodhpur,Bajra,Kharif,Flowering,59,41.2,71.3,37.5,67.3,14.9,0,None,Low
AGR0030,Bikaner,Wheat,Rabi,Maturity,101,22.5,45.3,5.4,27.2,8.1,0,None,Low
AGR0031,Nagaur,Bajra,Kharif,Vegetative,38,33.1,51.4,45.4,65.8,4.4,1,Ergot,Medium
AGR0032,Churu,Wheat,Rabi,Maturity,92,13.9,58.5,17.8,36.7,2.7,0,None,Low
AGR0033,Hanumangarh,Wheat,Rabi,Maturity,98,16.6,83.3,6.6,36.1,8.8,0,Powdery Mildew,Medium
AGR0034,Nagaur,Chickpea,Rabi,Flowering,80,30.6,32.8,11.6,31.2,10.6,0,None,Low
AGR0035,Dungarpur,Maize,Kharif,Flowering,53,28.3,63.7,4.6,18.4,8.8,0,None,Low
AGR0036,Bundi,Soybean,Kharif,Flowering,64,22.9,87.5,19.9,41.6,12.4,0,Bacterial Pustule,Medium
AGR0037,Alwar,Mustard,Rabi,Flowering,57,32.1,66.2,0.2,20.1,26.4,0,None,Low
AGR0038,Bikaner,Wheat,Rabi,Seedling,10,14.4,35.9,19.2,33.3,14.0,0,None,Low
AGR0039,Jaisalmer,Bajra,Kharif,Vegetative,28,30.7,62.0,27.4,55.0,7.7,1,None,Low
AGR0040,Dausa,Mustard,Rabi,Vegetative,41,32.3,41.8,22.1,41.8,15.7,1,None,Low
AGR0041,Sriganganagar,Wheat,Rabi,Flowering,77,30.4,69.2,17.4,41.5,9.1,1,Powdery Mildew,Medium
AGR0042,Alwar,Mustard,Rabi,Maturity,90,14.3,41.6,21.4,43.4,23.0,1,White Rust,Medium
AGR0043,Churu,Wheat,Rabi,Flowering,74,19.9,37.3,9.6,19.3,17.3,0,None,Low
AGR0044,Sikar,Chickpea,Rabi,Vegetative,42,20.3,72.9,24.9,52.8,5.4,1,Wilt,Medium
AGR0045,Churu,Wheat,Rabi,Flowering,79,20.4,53.7,7.6,19.2,5.5,1,Powdery Mildew,Medium
AGR0046,Jodhpur,Bajra,Kharif,Flowering,43,23.3,92.6,21.0,52.8,13.9,0,Ergot,Medium
AGR0047,Bharatpur,Mustard,Rabi,Vegetative,39,32.8,72.7,3.3,18.5,15.8,0,None,Low
AGR0048,Dausa,Mustard,Rabi,Vegetative,27,19.9,73.8,18.1,38.3,19.3,1,White Rust,Medium
AGR0049,Tonk,Mustard,Rabi,Flowering,70,17.2,74.3,1.3,32.4,4.5,0,White Rust,Medium
AGR0050,Sriganganagar,Wheat,Rabi,Flowering,65,17.1,34.2,5.9,10.0,23.2,1,Powdery Mildew,Medium
AGR0051,Rajsamand,Maize,Kharif,Vegetative,36,41.0,64.6,13.2,34.1,7.8,0,None,Low
AGR0052,Bundi,Soybean,Kharif,Maturity,92,27.6,51.7,46.3,75.2,6.0,0,Bacterial Pustule,Medium
AGR0053,Pali,Chickpea,Rabi,Flowering,51,19.3,30.5,21.4,45.9,20.5,0,Wilt,Medium
AGR0054,Nagaur,Chickpea,Rabi,Vegetative,23,33.6,73.0,7.8,32.1,6.9,0,None,Low
AGR0055,Jodhpur,Bajra,Kharif,Vegetative,25,36.0,67.5,28.3,55.4,0.2,0,None,Low
AGR0056,Ajmer,Chickpea,Rabi,Flowering,75,9.7,59.4,14.2,35.1,21.0,0,None,Low
AGR0057,Bikaner,Wheat,Rabi,Flowering,64,11.6,58.2,4.9,28.6,2.6,0,None,Low
AGR0058,Bikaner,Wheat,Rabi,Flowering,77,19.1,39.0,5.5,20.5,8.9,0,None,Low
AGR0059,Sriganganagar,Wheat,Rabi,Flowering,66,15.0,34.8,2.2,10.2,5.4,0,None,Low
AGR0060,Alwar,Mustard,Rabi,Flowering,65,9.4,64.5,7.2,33.6,7.8,1,None,Low
AGR0061,Tonk,Mustard,Rabi,Flowering,55,17.0,66.5,21.8,43.8,21.3,1,White Rust,Medium
AGR0062,Hanumangarh,Wheat,Rabi,Flowering,72,27.6,56.6,17.3,29.7,15.5,0,Powdery Mildew,Medium
AGR0063,Jhalawar,Soybean,Kharif,Maturity,94,26.3,60.0,14.8,27.8,25.5,0,None,Low
AGR0064,Alwar,Mustard,Rabi,Vegetative,22,22.8,70.4,8.7,30.6,11.4,0,None,Low
AGR0065,Sriganganagar,Wheat,Rabi,Flowering,70,11.4,39.4,20.7,37.2,16.4,1,Powdery Mildew,Medium
AGR0066,Dausa,Mustard,Rabi,Vegetative,39,17.1,74.2,6.2,34.5,27.3,1,White Rust,Medium
AGR0067,Churu,Wheat,Rabi,Maturity,86,17.3,48.6,7.8,27.1,3.4,0,None,Low
AGR0068,Kota,Soybean,Kharif,Maturity,85,24.2,81.1,43.8,77.3,22.1,0,Rust,High
AGR0069,Sriganganagar,Wheat,Rabi,Seedling,14,11.8,60.0,2.6,26.2,1.3,1,None,Low
AGR0070,Banswara,Maize,Kharif,Vegetative,40,35.1,75.7,4.1,27.7,1.0,1,Common Rust,Medium
AGR0071,Bundi,Soybean,Kharif,Flowering,72,41.8,51.4,22.2,35.6,14.1,1,None,Low
AGR0072,Hanumangarh,Wheat,Rabi,Flowering,55,11.2,39.3,8.8,14.8,21.3,1,Powdery Mildew,Medium
AGR0073,Bikaner,Wheat,Rabi,Flowering,72,21.7,65.1,24.6,55.4,21.5,0,Powdery Mildew,Medium
AGR0074,Bundi,Soybean,Kharif,Flowering,71,30.7,71.4,30.9,47.3,18.6,0,Bacterial Pustule,Medium
AGR0075,Nagaur,Bajra,Kharif,Seedling,13,32.0,81.0,1.2,24.7,12.0,0,None,Low
AGR0076,Jaisalmer,Bajra,Kharif,Vegetative,40,27.6,56.2,5.0,37.8,16.9,0,None,Low
AGR0077,Bundi,Soybean,Kharif,Vegetative,37,32.5,62.2,23.5,49.2,13.8,0,None,Low
AGR0078,Churu,Wheat,Rabi,Flowering,54,13.3,65.9,19.5,42.1,22.2,0,Powdery Mildew,Medium
AGR0079,Alwar,Mustard,Rabi,Flowering,48,24.3,58.1,1.5,10.8,8.1,0,None,Low
AGR0080,Sriganganagar,Wheat,Rabi,Seedling,15,10.5,83.0,3.4,37.1,4.2,0,Powdery Mildew,Medium
AGR0081,Ajmer,Chickpea,Rabi,Vegetative,40,32.0,81.9,19.1,53.6,0.2,0,Wilt,Medium
AGR0082,Jodhpur,Bajra,Kharif,Flowering,64,22.0,68.1,7.2,32.5,0.5,0,Ergot,Medium
AGR0083,Bharatpur,Mustard,Rabi,Flowering,63,20.5,81.9,8.1,34.3,18.5,0,White Rust,Medium
AGR0084,Churu,Wheat,Rabi,Flowering,78,25.6,43.8,16.3,35.6,5.9,1,Powdery Mildew,Medium
AGR0085,Dausa,Mustard,Rabi,Maturity,94,11.3,68.6,2.8,23.2,27.9,1,None,Low
AGR0086,Dausa,Mustard,Rabi,Seedling,12,13.0,62.7,10.3,26.3,3.5,0,None,Low
AGR0087,Barmer,Bajra,Kharif,Flowering,46,22.6,79.9,40.3,77.1,23.6,0,Downy Mildew,High
AGR0088,Barmer,Bajra,Kharif,Vegetative,19,31.7,87.3,33.6,66.3,20.3,0,Ergot,Medium
